local_alias,item_name,rate
1/2 cpvc pipe,"½"" CPVC Pipe SDR-11(10FT) Astral",353.0
3/4 cpvc pipe,"¾""  CPVC Pipe SDR-11(10FT) Astral",473.0
1 cpvc pipe,"1""  CPVC Pipe SDR-11(10FT) Astral",731.0
1-1/4 cpvc pipe,"1¼""  CPVC Pipe SDR-11(10FT) Astral",1251.0
1-1/2 cpvc pipe,"1½""  CPVC Pipe SDR-11(10FT) Astral",1717.0
2 cpvc pipe,"2""  CPVC Pipe SDR-11(10FT) Astral",2980.0
1/2 cpvc pipe 13.5,"½"" CPVC Pipe SDR-13.5(10FT) Astral",309.0
3/4 cpvc pipe 13.5,"¾"" CPVC Pipe SDR-13.5(10FT) Astral",445.0
1 cpvc pipe 13.5,"1"" CPVC Pipe SDR-13.5(10FT) Astral",649.0
1-1/4 cpvc pipe 13.5,1¼  CPVC Pipe SDR-13.5(10FT) Astral,1068.0
1-1/2 cpvc pipe 13.5,"1½"" CPVC Pipe SDR-13.5(10FT) Astral",1478.0
2 cpvc pipe 13.5,"2"" CPVC Pipe SDR-13.5(10FT) Astral",2508.0
1/2 coupling,"½"" CPVC coupler soc ",21.0
3/4 coupling,"¾"" CPVC coupler soc ",25.0
1 coupling,"1"" CPVC coupler soc ",39.0
1-1/4 coupling,1¼  CPVC coupler soc ,80.0
1-1/2 coupling,"1½"" CPVC coupler soc ",146.0
2 coupling,"2"" CPVC coupler soc ",301.0
3/4x1/2 elbow,"¾""x ½"" CPVC Reducer Elbow 90°",42.0
1x1/2 elbow,"1""x ½""  CPVC Reducer Elbow 90°",80.0
1x3/4 elbow,"1""x ¾""  CPVC Reducer Elbow 90°",109.0
1-1/4x1/2 elbow,"1¼ X1/2""  CPVC Reducer Elbow 90°",116.0
1-1/4x3/4 elbow,"1¼ X3/4""  CPVC Reducer Elbow 90°",124.0
1-1/4x1 elbow,"1¼   x 1""  CPVC Reducer Elbow 90°",166.0
2x1 elbow,"2"" x 1""  CPVC Reducer Elbow 90°",524.0
3/4x1/2 brass clamp,"¾""x ½"" CPVC Elbow with Clamp Brass",138.0
3/4x1/2 reducer,"3/4 x 1/2"" CPVC Reducer Coupler-soc",35.0
1x1/2 reducer,"1 x 1/2"" CPVC Reducer Coupler-soc",53.0
1x3/4 reducer,"1 x 3/4"" CPVC Reducer Coupler-soc",56.0
1-1/4x1/2 reducer,"1¼ x 1/2"" CPVC Reducer Coupler-soc",108.0
1-1/4x3/4 reducer,"1¼ x 3/4"" CPVC Reducer Coupler-soc",111.0
1-1/4x1 reducer,"1¼ x 1"" CPVC Reducer Coupler-soc",114.0
1-1/2x1/2 reducer,"1½ x 1/2"" CPVC Reducer Coupler-soc",160.0
1-1/2x3/4 reducer,"1½ x 3/4"" CPVC Reducer Coupler-soc",158.0
1-1/2x1 reducer,"1½ x 1"" CPVC Reducer Coupler-soc",170.0
1-1/2x1-1/4 reducer,"1½ x 1¼ "" CPVC Reducer Coupler-soc",166.0
2x1/2 reducer,"2 x 1/2"" CPVC Reducer Coupler-soc",330.0
2x3/4 reducer,"2 x 3/4"" CPVC Reducer Coupler-soc",338.0
2x1 reducer,"2 x 1"" CPVC Reducer Coupler-soc",330.0
2x1-1/4 reducer,2 x 1¼  CPVC Reducer Coupler-soc,345.0
2x1-1/2 reducer,"2 x 1½"" CPVC Reducer Coupler-soc",408.0
1/2 endcap,"½"" CPVC End Cap-soc",17.0
3/4 endcap,"¾"" CPVC End Cap-soc",23.0
1 endcap,"1"" CPVC End Cap-soc",35.0
1-1/4 endcap,1¼  CPVC End Cap-soc,71.0
1-1/2 endcap,"1½"" CPVC End Cap-soc",104.0
2 endcap,"2"" CPVC End Cap-soc",219.0
1/2 bend,"½"" CPVC Elbow 45°",29.0
3/4 bend,"¾"" CPVC Elbow 45°",41.0
1 bend,"1"" CPVC Elbow 45°",73.0
1-1/4 bend,1¼  CPVC Elbow 45°,153.0
1-1/2 bend,"1½"" CPVC Elbow 45°",243.0
2 bend,"2"" CPVC Elbow 45°",481.0
,"¾"" x ¾"" CPVC Transition Coupler",63.0
,"1""x 1"" CPVC Transition Coupler",95.0
1/2x1/2 brass elbow,½ X ½ CPVC Elbow 90° Brass FPTxSoc,107.0
3/4x1/2 brass elbow,¾ X ½ CPVC Elbow 90° Brass FPTxSoc,117.0
3/4x3/4 brass elbow,¾ X ¾ CPVC Elbow 90° Brass FPTxSoc,178.0
1x1/2 brass elbow,1 X ½ CPVC Elbow 90° Brass FPTxSoc,185.0
1x3/4 brass elbow,1 X ¾ CPVC Elbow 90° Brass FPTxSoc,301.0
1x1 brass elbow,1 X 1 CPVC Elbow 90° Brass FPTxSoc,564.0
1-1/4x1/2 brass elbow,1¼ X ½  CPVC Elbow 90° Brass FPTxSoc,347.0
1-1/4x3/4 brass elbow,1¼ X ¾ CPVC Elbow 90° Brass FPTxSoc,411.0
1-1/4x1-1/4 brass elbow,1¼ X 1¼ CPVC Elbow 90° Brass FPTxSoc,738.0
1/2 tee,"½"" CPVC TEE soc",35.0
3/4 tee,"¾"" CPVC TEE soc",46.0
1 tee,"1"" CPVC TEE soc",70.0
1-1/4 tee,1¼  CPVC TEE soc,158.0
1-1/2 tee,"1½"" CPVC TEE soc",286.0
2 tee,"2"" CPVC TEE soc",598.0
,2½ x 1½ CPVC Transition Reducer Coupler-Soc,580.0
